count_rep1_0Hpf	count_rep1_12Hpf	count_rep2_12Hpf	count_rep1_13Hpf	count_rep2_13Hpf	count_rep1_14Hpf	count_rep2_14Hpf	count_rep1_15Hpf	count_rep2_15Hpf	count_rep1_16Hpf	count_rep2_16Hpf	count_rep1_17Hpf	count_rep2_17Hpf	count_rep1_18Hpf	count_rep2_18Hpf	count_rep1_19Hpf	count_rep2_19Hpf	
jgi|Nemve1|220022|fgenesh1_pg.scaffold_468000004	1.469794233	2.762882807	3.059176345	3.879014567	3.678418598	4.61144893	3.578627068	4.772599156	4.108990211	3.705007202	5.783478891	5.905747251	6.516652097	4.997967509	5.183174568	4.736732004	4.26693813
jgi|Nemve1|220028|fgenesh1_pg.scaffold_469000004	13.57110008	13.69161924	14.48779741	12.98626616	14.20789183	15.1016152	12.99606672	13.13520653	13.12742327	15.51807364	12.36862812	17.142346	19.50501386	19.07119181	22.70978548	22.53536135	23.99579185
jgi|Nemve1|220036|fgenesh1_pg.scaffold_469000012	5.193272957	4.788996865	5.194827755	4.890931411	5.287726734	7.63881235	5.776029653	6.968839476	6.296894089	9.82632345	8.016703414	8.048540501	9.482852362	10.30282776	8.549566298	8.995006231	8.487995205
jgi|Nemve1|220043|fgenesh1_pg.scaffold_469000019	6.320115202	6.937905715	7.041877624	6.521241881	8.782224403	6.16033254	7.220037067	6.842133304	6.990619709	8.430233779	5.382643721	7.734961001	7.550327947	9.557516815	6.73278346	11.38729512	10.27735636
jgi|Nemve1|220053|fgenesh1_pg.scaffold_470000009	0.293958847	0.491179166	0.519482776	0.505958422	0.321861627	0.528028503	0.188348793	0.253412345	0.426908074	0.483261809	0.343573003	0.36584275	0.584251567	0.789152765	0.748087051	0.478457778	0.412929496
jgi|Nemve1|220056|fgenesh1_pg.scaffold_470000012	4.262403276	4.788996865	3.924980971	3.822796965	4.552043015	3.872209025	3.07636362	3.29436048	2.668175462	3.705007202	2.29048669	2.926742	2.966200265	2.937401957	2.778609047	2.679363558	3.395198082
jgi|Nemve1|220084|fgenesh1_pg.scaffold_472000013	23.81066658	40.39948638	44.32919684	68.19195174	66.1195743	76.3529216	77.85083446	99.84446377	109.608648	110.1299967	91.73399192	118.6375775	120.6704199	123.414724	118.1443193	111.337125	107.0863827
jgi|Nemve1|220096|fgenesh1_pg.scaffold_474000007	0.979862822	0.920960936	0.750364009	1.068134446	0.781663952	1.372874109	1.444007413	1.773886412	1.120633694	2.201526019	1.202505512	2.299583	2.696545695	3.025085597	1.442739313	3.588433337	1.835242207
jgi|Nemve1|220101|fgenesh1_pg.scaffold_474000012	3.380526736	4.788996865	4.617624671	3.991449772	7.586738358	6.054726839	5.901595515	6.715427132	6.670438654	5.799141708	4.695497714	4.02427025	4.224588256	4.164972924	4.541957096	5.597956005	5.735131895
jgi|Nemve1|220102|fgenesh1_pg.scaffold_474000013	60.16357727	81.78133108	80.80843175	91.35360394	73.24651033	88.77919238	97.75302359	84.00619223	98.295584	78.18102154	85.03431835	90.15410626	84.9411894	75.40793083	76.57205316	89.95006231	93.87263886
